slug,zh,en,scope,note
ios_view.save_something_in_the_memory_tab_first,先去「记忆」tab 收藏一些内容。,Save something in the Memory tab first.,ios_view,
ios_view.clear_then_import,先清空再导入,Clear then Import,ios_view,
ios_view.preview_what_the_ai_would_produce_this,"先看看 AI 会给出什么内容,不会保存进历史记录。",Preview what the AI would produce; this won't be saved to history.,ios_view,
ios_view.all,全部待办,All,ios_view,
ios_view.with_notifications_off_results_only,"关掉通知后,结果只在这里和「总览」里显示。","With notifications off, results only show here and on the Overview tab.",ios_view,
ios_view.relationship,关系,Relationship,ios_view,
ios_view.relationship_graph,关系图谱,Relationship Graph,ios_view,
ios_view.off,关闭,Off,ios_view,
ios_view.other,其他,Other,ios_view,
ios_view.write_something_to_save_the_ai_will,"写点想收藏的内容,AI 会整理成记忆条目。",Write something to save; the AI will organize it into a memory item.,ios_view,
ios_view.share_exported_file,分享导出的文件,Share Exported File,ios_view,
ios_view.category_optional_e_g_bank_card,"分类(可选),如 银行卡、房产、保险","Category (optional), e.g. bank card, property, insurance",ios_view,
ios_view.create,创建,Create,ios_view,
ios_view.delete,删除,Delete,ios_view,
ios_view.delete_contact,删除人脉,Delete Contact,ios_view,
ios_view.delete_item,删除收藏,Delete Item,ios_view,
ios_view.delete_this_routine,删除这条定时任务,Delete this routine,ios_view,
ios_view.runs_automatically_at_the_set_time_and,"到设定时间自动执行,结果推送给你。系统会挑合适的时机在后台完成,如果没赶上,到点会先提醒你打开 app,打开后立刻补跑。","Runs automatically at the set time and pushes the result to you. The system picks a good moment to run it in the background; if it misses that window, you'll get a reminder to open the app, and it runs right away when you do.",ios_view,
ios_view.open_settings,前往系统设置开启,Open Settings,ios_view,
ios_view.the_original_file_is_only_stored_on_the,原文件仅保存在收藏它的设备上。,The original file is only stored on the device where it was saved.,ios_view,
ios_view.the_original_content_is_kept_retry_only,"原文已保留,重试只重新进行 AI 整理;未配置 AI 时请先到「设置」里填写。","The original content is kept; retry only re-runs AI organizing. If AI isn't configured, set it up in Settings first.",ios_view,
ios_view.for_date_only_tasks_with_no_set_time,"只有日期、没有时间的事项,当天几点提醒。","For date-only tasks with no set time, what time of day to remind you.",ios_view,
ios_view.merge,合并更新,Merge,ios_view,
ios_view.merge_matches_todos_memories_item_by,"合并更新按待办/记忆逐条对齐,不删除设备上已有的内容;先清空再导入会删除设备上所有待办、记忆和 AI 对话,不可撤销。","Merge matches todos/memories item by item and keeps existing content; Clear then Import deletes all todos, memories, and AI conversations on this device—this cannot be undone.",ios_view,
ios_view.name_e_g_checking_account,"名称,如 招商银行储蓄卡","Name, e.g. Checking Account",ios_view,
ios_view.reminds_you_at_a_set_time_about_tasks,在设定时间提醒今天开始或到期的事项。,Reminds you at a set time about tasks starting or due today.,ios_view,
ios_view.backup_restore,备份与恢复,Backup & Restore,ios_view,
ios_view.e_g_colleague_college_friend,如 同事、大学同学,"e.g. colleague, college friend",ios_view,
ios_view.e_g_coffee_hiking,如 咖啡、爬山,"e.g. coffee, hiking",ios_view,
ios_view.e_g_coffee_hiking_optional,如 咖啡、爬山(可选),"e.g. coffee, hiking (optional)",ios_view,
ios_view.name,姓名,Name,ios_view,
ios_view.its_run_history_will_be_deleted_too,它的运行历史也会一起删除。,Its run history will be deleted too.,ios_view,
ios_view.done,完成,Done,ios_view,
ios_view.completion_insight,完成洞察,Completion Insight,ios_view,
ios_view.routines,定时任务,Routines,ios_view,
ios_view.the_conversation_will_be_deleted_too,"对话记录会一并删除,不可恢复。","The conversation will be deleted too, and cannot be recovered.",ios_view,
ios_view.import,导入,Import,ios_view,
ios_view.import_backup,导入备份,Import Backup,ios_view,
ios_view.exports_a_zip_with_your_todos_memories,"导出一份包含待办、记忆(含附件)、AI 对话与设置的 zip 文件,可用于换设备或本地留档;不含 API Key,与 iCloud 同步互不影响。","Exports a zip with your todos, memories (with attachments), AI conversations, and settings—useful for switching devices or keeping a local archive. Doesn't include API keys, and is independent of iCloud sync.",ios_view,
ios_view.export_to_contacts,导出到通讯录,Export to Contacts,ios_view,
ios_view.export_backup,导出备份,Export Backup,ios_view,
ios_view.using_the_built_in_deepseek_api_key_no,"已使用内置 DeepSeek API Key,无需再填。",Using the built-in DeepSeek API key—no need to fill one in.,ios_view,
ios_view.existing_contacts_matched_by_phone,"已存在的人脉(按手机号/邮箱匹配)会自动跳过,不会重复导入。",Existing contacts (matched by phone/email) are skipped automatically and won't be imported twice.,ios_view,
ios_view.customized,已自定义,Customized,ios_view,
ios_view.when_on_todos_sync_automatically_across,"开启后,待办会在登录同一 Apple ID 的 iPhone/Mac/Apple Watch 间自动同步;关闭后仅保存在本机。更改后需要退出并重新打开 App 才能生效。","When on, todos sync automatically across iPhone/Mac/Apple Watch signed into the same Apple ID; when off, they're kept only on this device. Quit and reopen the app for changes to take effect.",ios_view,
ios_view.get_started,开始使用,Get Started,ios_view,
ios_view.start_adding,开始添加,Start Adding,ios_view,
ios_view.affects_the_tone_of_follow_up_questions,"影响反问、汇总和洞察的说话风格,不影响解析结果;默认为无个性。","Affects the tone of follow-up questions, summaries, and insights—not parsing results. Default is no personality.",ios_view,
ios_view.higher_thinking_levels_are_usually_more,"思考强度越高,回答通常越准确但等待更久;只有支持推理的服务商/模型才会真正生效,其余会忽略这个设置,不影响正常使用。",Higher thinking levels are usually more accurate but slower to respond. This only takes effect with providers/models that support reasoning; others ignore the setting without any impact.,ios_view,
ios_view.for_summary_review_tasks_turn_on,总结/复盘类任务打开「带上今天的待办」;天气、行情这类要开「允许联网搜索」。,"For summary/review tasks, turn on ""Include today's todos""; for weather, market data, etc., turn on ""Allow web search"".",ios_view,
ios_view.overview,总览,Overview,ios_view,
ios_view.this_tag_will_be_renamed_everywhere_it,所有条目里的这个标签会一起改名。,This tag will be renamed everywhere it's used.,ios_view,
ios_view.phone,手机,Phone,ios_view,
ios_view.phone_optional,手机(可选),Phone (optional),ios_view,
ios_view.bulk_export_to_contacts,批量导出到通讯录,Bulk export to Contacts,ios_view,
ios_view.the_instruction_is_sent_to_the_ai_as_is,"指令原样发给 AI,写清楚要什么内容;每次只会返回一段不超过 120 字的文字。",The instruction is sent to the AI as-is—be specific about what you want; each run returns at most 120 characters of text.,ios_view,
ios_view.recommended,推荐,Recommended,ios_view,
ios_view.notice,提示,Notice,ios_view,
ios_view.save,收藏,Save,ios_view,
ios_view.save_this,收藏这条,Save This,ios_view,
ios_view.reschedule,改期,Reschedule,ios_view,
ios_view.failed_to_organize_retry,"整理失败,重试","Failed to organize, retry",ios_view,
ios_view.file,文件,File,ios_view,
ios_view.new_tag,新标签,New tag,ios_view,
ios_view.duration_is_an_ai_suggestion_based_on,时长为 AI 参考历史类似事项的建议,Duration is an AI suggestion based on similar past tasks,ios_view,
ios_view.nickname,昵称,Nickname,ios_view,
ios_view.nickname_optional,昵称(可选),Nickname (optional),ios_view,
ios_view.no_preferences_yet_mention_a_standing,"暂无偏好;说一句「以后开会都留一小时」这样的长期要求,AI 会自动记在这里,也可以直接手写。","No preferences yet; mention a standing preference like ""always leave an hour for meetings"" and the AI will record it here, or write one yourself.",ios_view,
ios_view.tasks_with_a_duration_get_a_reminder_at,有时长的事项会在开始和结束各提醒一次,Tasks with a duration get a reminder at both start and end,ios_view,
ios_view.provider_api_key_thinking_level_web,服务商与 API Key、思考强度、联网搜索、AI 个性、语音交互、完成洞察、AI 记忆、Skill 编辑都在这里。,"Provider & API key, thinking level, web search, AI personality, voice input, completion insight, AI memory, and skill editing all live here.",ios_view,
ios_view.permission,权限,Permission,ios_view,
ios_view.view_onboarding,查看引导,View Onboarding,ios_view,
ios_view.tags,标签,Tags,ios_view,
ios_view.tags_separated_by,标签(用、分隔),Tags (separated by 、),ios_view,
ios_view.tag_name,标签名,Tag name,ios_view,
ios_view.title,标题,Title,ios_view,
ios_view.model_name,模型名称,Model Name,ios_view,
ios_view.generating,正在生成…,Generating…,ios_view,
ios_view.getting_reschedule_suggestions,正在获取改期建议…,Getting reschedule suggestions…,ios_view,
ios_view.weekly,每周,Weekly,ios_view,
ios_view.generates_a_positive_weekly_recap_in,"每周在已完成区生成一句正向回顾,不会推送通知。",Generates a positive weekly recap in the Done section; no notification is sent.,ios_view,
ios_view.daily,每天,Daily,ios_view,
ios_view.exchange_rates_unavailable_need_to,"汇率不可用(需联网获取一次),不同币种暂按原样未换算求和",Exchange rates unavailable (need to fetch online once); different currencies are summed as-is without conversion for now,ios_view,
ios_view.no_tasks,没有待办,No tasks,ios_view,
ios_view.no_upcoming_tasks,没有未来待办,No upcoming tasks,ios_view,
ios_view.add_relationship,添加关系,Add Relationship,ios_view,
ios_view.add_routine,添加定时任务,Add Routine,ios_view,
ios_view.add_file,添加文件,Add File,ios_view,
ios_view.clear_filters,清除筛选,Clear Filters,ios_view,
ios_view.a_light_haptic_tap_when_you_swipe_to,滑动完成、删除等操作时轻微振动。,A light haptic tap when you swipe to complete or delete.,ios_view,
ios_view.photo,照片,Photo,ios_view,
ios_view.tap_in_the_top_right_to_add_one_like,"用右上角的 + 添加,比如每天早上让 AI 总结今天的待办。","Tap + in the top right to add one, like having the AI summarize today's todos every morning.",ios_view,
ios_view.clear_ai_memory,确定清空 AI 记忆吗?,Clear AI memory?,ios_view,
ios_view.how_long_to_wait_before_reminding_you,"稍等或忽略提醒后,间隔多久再次提醒,直到完成。","How long to wait before reminding you again after you snooze or ignore, until the task is done.",ios_view,
ios_view.snooze_interval_all_day_reminder_time,稍等间隔、全天事项提醒时间、每日待办汇总都在这里。,"Snooze interval, all-day reminder time, and daily digest all live here.",ios_view,
ios_view.run_now,立即运行,Run Now,ios_view,
ios_view.filter,筛选,Filter,ios_view,
ios_view.manage_tags,管理标签,Manage Tags,ios_view,
ios_view.save_from_clipboard,粘贴收藏,Save from Clipboard,ios_view,
ios_view.paste_text_or_a_link_or_import_a_file,"粘贴文字或链接、导入文件,AI 会整理成记忆条目。","Paste text or a link, or import a file—the AI will organize it into a memory item.",ios_view,
ios_view.web_search_requires_a_tavily_api_key,联网搜索需要先在「AI 设置」里配置 Tavily API key。,Web search requires a Tavily API key configured in AI Settings first.,ios_view,
ios_view.apple_intelligence_requires_ios_26_or,苹果智能需要 iOS 26 及以上系统。,Apple Intelligence requires iOS 26 or later.,ios_view,
ios_view.what_you_want_the_ai_to_do_each_time_e,"要 AI 每次做什么,如:看看今天上海的天气,给一句穿衣建议","What you want the AI to do each time, e.g. check today's weather in Shanghai and suggest an outfit",ios_view,
ios_view.have_the_ai_automatically_do_something,"让 AI 在你设定的时间自动跑一件事,比如早上总结今天的待办、看天气给穿搭建议。","Have the AI automatically do something at times you set, like summarizing today's todos in the morning or suggesting an outfit based on the weather.",ios_view,
ios_view.add_a_contact,记一位人脉,Add a Contact,ios_view,
ios_view.add_an_asset,记一笔资产,Add an Asset,ios_view,
ios_view.memory,记忆,Memory,ios_view,
ios_view.the_asset_overview_in_the_memory_tab,"记忆 tab 的「资产总览」把不同币种的资产换算成这种货币求和;汇率联网免费获取,每天自动更新一次。","The ""Asset Overview"" in the Memory tab converts assets in different currencies into this one for the total; exchange rates are fetched online for free and refreshed daily.",ios_view,
ios_view.tap_in_the_top_right_of_the_memory_list,记忆列表里点右上角「+」记一位人脉。,Tap + in the top right of the memory list to add a contact.,ios_view,
ios_view.dry_run,试运行,Dry Run,ios_view,
ios_view.run_once_as_a_dry_run,试运行一次,Run once as a dry run,ios_view,
ios_view.voice_input,语音交互,Voice Input,ios_view,
ios_view.voice_input_stops_and_submits,"语音输入静音超过设定时长自动停止并提交;0 秒 = 关闭,不自动停止。","Voice input stops and submits automatically after this much silence; 0 seconds = off, never auto-stops.",ios_view,
ios_view.speak_or_type_to_create_edit_complete,"说一句话或打字,新建/修改/完成/删除事项,收藏内容或问问你存过的记忆。","Speak or type to create/edit/complete/delete tasks, save content, or ask about what you've saved.",ios_view,
ios_view.say_something,说点什么…,Say something…,ios_view,
ios_view.allow_lodo_to_access_contacts_in,请在系统设置 → 隐私与安全性 → 通讯录 里允许 lodo 访问。,Allow lodo to access Contacts in Settings → Privacy & Security → Contacts.,ios_view,
ios_view.please_choose,请选择,Please choose,ios_view,
ios_view.asset,资产,Asset,ios_view,
ios_view.asset_overview,资产总览,Asset Overview,ios_view,
ios_view.just_tell_the_ai_what_you_need_like,"跟 AI 说一句话就能新建,比如「明天下午3点开会」。","Just tell the AI what you need, like ""meeting tomorrow at 3pm"".",ios_view,
ios_view.enter_text,输入文字,Enter Text,ios_view,
ios_view.no_contacts_yet,还没有人脉。,No contacts yet.,ios_view,
ios_view.no_linked_contacts_yet,还没有关联的人脉。,No linked contacts yet.,ios_view,
ios_view.no_other_contacts_to_link_yet,还没有其他人脉可以关联。,No other contacts to link yet.,ios_view,
ios_view.nothing_saved_yet,还没有收藏,Nothing saved yet,ios_view,
ios_view.choose_file,选择文件,Choose File,ios_view,
ios_view.choose_memory,选择记忆,Choose Memory,ios_view,
ios_view.options,选项,Options,ios_view,
ios_view.notifications_are_off_reminders_won_t,"通知权限已关闭,提醒不会推送",Notifications are off; reminders won't be delivered,ios_view,
ios_view.email,邮箱,Email,ios_view,
ios_view.email_optional,邮箱(可选),Email (optional),ios_view,
ios_view.once_configured_the_ai_assistant_can,"配置后 AI 助手能在需要最新信息或回答一般问题时联网搜索;免费在 tavily.com 注册获取 API Key,不填则不启用联网搜索。","Once configured, the AI assistant can search the web for current info or general questions. Get a free API key at tavily.com; leave blank to disable web search.",ios_view,
ios_view.reset,重置,Reset,ios_view,
ios_view.reset_preferences,重置偏好,Reset Preferences,ios_view,
ios_view.amount,金额,Amount,ios_view,
ios_view.amount_optional,金额(可选),Amount (optional),ios_view,
ios_view.the_amount_can_t_be_read_as_a_number,"金额无法识别为数字,改成数字或清空这一栏才能保存。",The amount can't be read as a number—make it a number or clear this field to save.,ios_view,
ios_view.attachment,附件,Attachment,ios_view,
ios_view.high,高,High,ios_view,
ios_view.deepseek_by_default_cloud_providers_all,"默认 DeepSeek;云服务商均为 OpenAI 兼容接口,key 按服务商分别保存在钥匙串中;苹果智能在设备端运行,免 key。","DeepSeek by default; cloud providers all use OpenAI-compatible endpoints, keys are stored per-provider in the Keychain; Apple Intelligence runs on-device and needs no key.",ios_view,
ios_view.save_2,保存,Save,ios_view,
ios_view.convert_to_todo,转为待办,Convert to Todo,ios_view,
ios_view.watch_the_first_launch_introduction,重新看一遍首次打开时的功能介绍。,Watch the first-launch introduction again.,ios_view,
ios_view.icloud_sync,iCloud 同步,iCloud Sync,ios_view,
ios_view.today_s_memories,今天的记忆,Today's Memories,ios_view,
ios_view.today_s_routines,今日例行,Today's Routines,ios_view,
ios_view.use_built_in_api_key,使用内置 API Key,Use Built-in API Key,ios_view,
ios_view.allow_web_search,允许联网搜索,Allow Web Search,ios_view,
ios_view.all_tags,全部标签,All Tags,ios_view,
ios_view.original_text,原文,Original Text,ios_view,
ios_view.original_file,原文件,Original File,ios_view,
ios_view.enabled,启用,Enabled,ios_view,
ios_view.preferences,喜好,Preferences,ios_view,
ios_view.suggestions,处理建议,Suggestions,ios_view,
ios_view.notes,备注,Notes,ios_view,
ios_view.due_now,已到期提醒,Due Now,ios_view,
shared.currency,币种,Currency,shared,
ios_view.include_today_s_todos,带上今天的待办,Include Today's Todos,ios_view,
shared.thinking_level,思考强度,Thinking Level,shared,
ios_view.show_assets,显示资产,Show Assets,ios_view,
ios_view.recent_results,最近结果,Recent Results,ios_view,
shared.provider,服务商,Provider,shared,
ios_view.entry,条目,Entry,ios_view,
ios_view.summary_display_currency,汇总展示币种,Summary Display Currency,ios_view,
ios_view.birthday,生日,Birthday,ios_view,
ios_view.notify_on_result,结果发通知,Notify on Result,ios_view,
ios_view.contact_info,联系方式,Contact Info,ios_view,
ios_view.asset_amount,资产金额,Asset Amount,ios_view,
ios_view.link,链接,Link,ios_view,
ios_core.model_default,模型(默认 ,Model (default ,ios_core,"后接型号名+右括号;用 LocalizedStrings.translate 消费,不是字面量 Text(),scope 不能给 ios_view"
shared.language,语言,Language,shared,
shared.independent_of_the_system_language,"独立于系统语言设置;AI 助手的对话内容不受影响,始终为中文。",Independent of the system language setting; AI assistant conversations are unaffected and stay in Chinese.,shared,
shared.ai_edit,AI 修改,AI Edit,shared,
android_ui.e_g_meeting_tomorrow_3pm_1_hour,例如:明天3点开会一小时,"e.g. meeting tomorrow 3pm, 1 hour",android_ui,
android_ui.e_g_meeting_tomorrow_3pm_1hr_move,例如:明天3点开会一小时 / 把开会改到晚上8点,e.g. meeting tomorrow 3pm 1hr / move meeting to 8pm,android_ui,
android_ui.today,今天,Today,android_ui,
shared.all_day,全天,All day,shared,
android_ui.decrease,减少,Decrease,android_ui,
android_ui.remove_time,删除时间点,Remove time,android_ui,
android_ui.open_settings,去设置,Open Settings,android_ui,
shared.weekday,周几,Weekday,shared,
android_ui.increase,增加,Increase,android_ui,
android_ui.completed_at_0,完成于 {0},Completed at {0},android_ui,"运行时用 stringResource(id, arg) 传参;arg 是 TimeFormat.format(doneAt)"
android_ui.completion_insight,完成洞察,Completion Insight,android_ui,
android_ui.done,已完成执行,Done,android_ui,
android_ui.done_2,已完成,Done,android_ui,
shared.haptic_feedback,振动反馈,Haptic Feedback,shared,
android_ui.notice,提示,Notice,android_ui,
shared.reminder_times,提醒时间点,Reminder times,shared,
android_ui.collapse_suggestions,收起改期候选,Collapse suggestions,android_ui,
shared.duration,时长,Duration,shared,
android_ui.time_0,时间 {0},Time {0},android_ui,"运行时用 stringResource(id, arg) 传参;arg 是 i + 1"
android_ui.daily_digest,每日汇总,Daily Digest,android_ui,
android_ui.start_voice_input_when_adding,点击添加自动开始语音,Start voice input when adding,android_ui,
android_ui.snooze_0_min,稍等 {0} 分钟,Snooze {0} min,android_ui,"运行时用 stringResource(id, arg) 传参;arg 是 snoozeMinutes"
android_ui.snooze_interval_0_min,稍等间隔:{0} 分钟,Snooze interval: {0} min,android_ui,"运行时用 stringResource(id, arg) 传参;arg 是 settings.snoozeMinutes"
android_ui.voice_input,语音输入,Voice Input,android_ui,
android_ui.parse,解析,Parse,android_ui,
android_ui.back,返回,Back,android_ui,
android_ui.nothing_completed_yet,还没有完成的事项,Nothing completed yet,android_ui,
shared.repeat,重复,Repeat,shared,
android_ui.auto_stop_after_silence_0_s,静音自动停止:{0} 秒,Auto-stop after silence: {0}s,android_ui,"运行时用 stringResource(id, arg) 传参;arg 是 settings.agentSilenceTimeoutSeconds"
android_ui.0_min,{0} 分钟,{0} min,android_ui,"运行时用 stringResource(id, arg) 传参;arg 是 minutes"
android_ui.how_long_did_0_actually_take,「{0}」实际用了多久?,"How long did ""{0}"" actually take?",android_ui,"运行时用 stringResource(id, arg) 传参;arg 是 title"
android_ui.due_now,🔔 到期提醒,🔔 Due Now,android_ui,
ios_core.deepseek_api_key_not_configured_set_it,"未配置 DeepSeek API key,请到「设置」里填写。",DeepSeek API key not configured. Set it up in Settings.,ios_core,
ios_core.deepseek_request_failed,调用 DeepSeek 失败:,DeepSeek request failed: ,ios_core,"前缀,后接原始错误信息"
ios_core.couldn_t_parse,无法解析:,Couldn't parse: ,ios_core,"前缀,后接原始错误信息"
ios_core.qwen_asr_api_key_not_configured_set,"未配置 Qwen 语音识别 API key,请到「设置」里填写。",Qwen speech recognition API key not configured. Set it up in Settings.,ios_core,
ios_core.qwen_asr_request_failed,调用 Qwen 语音识别失败:,Qwen speech recognition request failed: ,ios_core,"前缀,后接原始错误信息"
ios_core.invalid_response_search_memory_is,返回格式异常:search_memory 缺少 query,Invalid response: search_memory is missing query,ios_core,
ios_core.invalid_response_web_search_is_missing,返回格式异常:web_search 缺少 query,Invalid response: web_search is missing query,ios_core,
ios_core.invalid_response_web_fetch_is_missing,返回格式异常:web_fetch 缺少 url,Invalid response: web_fetch is missing url,ios_core,
ios_core.invalid_response_unknown_tool,返回格式异常:未知工具 ,Invalid response: unknown tool ,ios_core,后接工具名
ios_core.invalid_response_missing_actions,返回格式异常:缺少 actions,Invalid response: missing actions,ios_core,
ios_core.couldn_t_find_the_task_to_act_on,找不到要操作的事项,Couldn't find the task to act on,ios_core,
ios_core.invalid_response_saved_content_is_empty,返回格式异常:收藏内容为空,Invalid response: saved content is empty,ios_core,
ios_core.invalid_response_suggested_content_is,返回格式异常:建议收藏内容为空,Invalid response: suggested content is empty,ios_core,
ios_core.invalid_response_preference_content_is,返回格式异常:偏好内容为空,Invalid response: preference content is empty,ios_core,
ios_core.invalid_response_question_is_empty,返回格式异常:查询问题为空,Invalid response: question is empty,ios_core,
ios_core.invalid_response_answer_is_empty,返回格式异常:回答内容为空,Invalid response: answer is empty,ios_core,
ios_core.invalid_response_unknown_action,返回格式异常:未知 action,Invalid response: unknown action,ios_core,
ios_core.invalid_response_ask_has_no_usable,返回格式异常:ask 缺少可用问题,Invalid response: ask has no usable question,ios_core,
ios_core.invalid_response_missing_candidates,返回格式异常:缺少 candidates,Invalid response: missing candidates,ios_core,
ios_core.no_reschedule_suggestions_available,没有可用的改期候选,No reschedule suggestions available,ios_core,
ios_core.invalid_response_missing_insight,返回格式异常:缺少 insight,Invalid response: missing insight,ios_core,
ios_core.invalid_response_missing_suggestion,返回格式异常:缺少 suggestion,Invalid response: missing suggestion,ios_core,
ios_core.invalid_response_missing_summary,返回格式异常:缺少 summary,Invalid response: missing summary,ios_core,
ios_core.invalid_response_missing_text,返回格式异常:缺少 text,Invalid response: missing text,ios_core,
ios_core.invalid_response_missing_title,返回格式异常:缺少 title,Invalid response: missing title,ios_core,
